MI_dir_L0.1_mean,MI_dir_L0.1_variance,H_L0.1_mean,H_L0.1_variance,HH_L0.1_mean,HH_L0.1_std,HpHp_L0.1_mean
78.10720939,215.34524979999878,78.10720939,215.3452498000006,59.999999999999986,6.739999989235912e-07,60.0,Normal
69.55262699,258.87289769999916,69.55262698999998,258.87289769999734,69.65291496,17.76002696,66.0,Normal
337.2579279,27246.8811,337.2579279,27246.8811,456.3343244,19.34449706,456.3343244,Normal
426.07798058816206,46822.3166827041,426.07798058816206,46822.3166827041,59.999999999999986,0.0,60.0,Attack
68.60273595,268.05753249999907,68.60273595,268.05753249999725,59.999999999999986,9.54000000774613e-07,60.0,Normal
426.306483908656,46737.3516207054,426.306483908656,46737.35162070539,553.882733979549,7.61023408205449,554.0,Attack
74.5708921,624.684335699998,74.5708921,624.6843356999998,71.94552847,7.731697533,71.94552847,Normal
82.33630565,400.8787845000006,82.33630565,400.8787844999988,73.76260586,18.26389068,60.0,Normal
70.612718236369,36.01604026261339,70.612718236369,36.01604026261339,73.9977614248203,0.1770170649164413,74.0,Attack
381.242082098325,55493.73029913221,381.242082098325,55493.73029913221,553.955896793404,4.667444586241789,554.0,Attack
139.919245,43330.8441,139.919245,43330.8441,172.5256704,242.8377324,210.3573894,Normal